int_id,name,abbrev,t_age,b_age,int_type,color
1143,C1,,0,1.778,chron,#F9F97F
1142,C2,,1.778,2.581,chron,#FFF2AE
1141,C2A,,2.581,4.187,chron,#F9F97F
1140,C3,,4.187,6.033,chron,#FFE619
1139,C3A,,6.033,7.14,chron,#FFFF73
1138,C3B,,7.14,7.528,chron,#FFFF00
1137,C4,,7.528,8.771,chron,#FFFF66
1136,C4A,,8.771,9.786,chron,#FFFF66
1135,C5,,9.786,12.049,chron,#FFFF00
1134,C5A,,12.049,13.032,chron,#FFFF59
1133,C5AA,,13.032,13.363,chron,#FFFF59
1132,C5AB,,13.363,13.739,chron,#FFFF59
1131,C5AC,,13.739,14.163,chron,#FFFF00
1130,C5AD,,14.163,14.775,chron,#FFFF4D
1129,C5B,,14.775,15.974,chron,#FFFF00
1128,C5C,,15.974,17.235,chron,#FFFF41
1127,C5D,,17.235,18.056,chron,#FFFF41
1126,C5E,,18.056,18.748,chron,#FFFF41
1125,C6,,18.748,20.04,chron,#FFFF41
1124,C6A,,20.04,21.083,chron,#FFFF00
1123,C6AA,,21.083,21.767,chron,#FFFF33
1122,C6B,,21.767,22.564,chron,#FFFF33
1121,C6C,,22.564,23.692,chron,#F4B470
1120,C7,,23.692,24.761,chron,#FEE6AA
1119,C7A,,24.761,25.099,chron,#FEE6AA
1118,C8,,25.099,26.42,chron,#FEE6AA
1117,C9,,26.42,27.859,chron,#FEE6AA
1116,C10,,27.859,29.183,chron,#FDC07A
1115,C11,,29.183,30.591,chron,#FED99A
1114,C12,,30.591,33.157,chron,#FED99A
1113,C13,,33.157,34.999,chron,#FD9A52
1112,C15,,34.999,35.706,chron,#FDCDA1
1111,C16,,35.706,36.969,chron,#FDCDA1
1110,C17,,36.969,38.615,chron,#FDB46C
1109,C18,,38.615,41.154,chron,#FDC091
1108,C19,,41.154,42.301,chron,#FDB46C
1107,C20,,42.301,45.724,chron,#FCB482
1106,C21,,45.724,48.566,chron,#FDB46C
1105,C22,,48.566,50.628,chron,#FCA773
1104,C23,,50.628,52.62,chron,#FCA773
1103,C24,,52.62,57.101,chron,#FD9A52
1102,C25,,57.101,58.959,chron,#FDBF6F
1101,C26,,58.959,62.221,chron,#FDA75F
1100,C27,,62.221,63.394,chron,#FDB462
1099,C28,,63.394,64.958,chron,#FDB462
1098,C29,,64.958,66.398,chron,#D2C055
1097,C30,,66.398,68.369,chron,#F2FA8C
1096,C31,,68.369,71.449,chron,#F2FA8C
1095,C32,,71.449,74.309,chron,#A6D84A
1094,C33,,74.309,83.64,chron,#A6D84A
1093,C34,,83.64,125.93,chron,#7FC64E
1092,M0,,125.93,126.3,chron,#B3DF7F
1091,M1,,126.3,128.66,chron,#B3DF7F
1090,M3,,128.66,130.6,chron,#8CCD57
1089,M5,,130.6,131.74,chron,#A6D975
1088,M6,,131.74,132.04,chron,#A6D975
1087,M7,,132.04,132.55,chron,#A6D975
1086,M8,,132.55,133.05,chron,#8CCD57
1085,M9,,133.05,133.58,chron,#99D36A
1084,M10,,133.58,134.22,chron,#99D36A
1083,M10N,,134.22,135.32,chron,#99D36A
1082,M11,,135.32,136.29,chron,#99D36A
1081,M11A,,136.29,136.87,chron,#99D36A
1080,M12,,136.87,137.94,chron,#99D36A
1079,M12A,,137.94,138.25,chron,#99D36A
1078,M13,,138.25,138.66,chron,#99D36A
1077,M14,,138.66,139.54,chron,#99D36A
1076,M15,,139.54,140.42,chron,#8CCD57
1075,M16,,140.42,142.22,chron,#8CCD60
1074,M17,,142.22,144,chron,#8CCD60
1073,M18,,144,145.01,chron,#5ABC8C
1072,M19,,145.01,146.54,chron,#D9F1F7
1071,M20,,146.54,148.44,chron,#D9F1F7
1070,M21,,148.44,149.8,chron,#D9F1F7
1069,M22,,149.8,151.92,chron,#D9F1F7
1068,M22A,,151.92,152.64,chron,#B3E3EE
1067,M23,,152.64,153.62,chron,#CCECF4
1066,M24,,153.62,154.59,chron,#CCECF4
1065,M24A,,154.59,155.01,chron,#CCECF4
1064,M24B,,155.01,155.54,chron,#CCECF4
1063,M25,,155.54,156.04,chron,#CCECF4
1062,M25A,,156.04,156.56,chron,#CCECF4
1061,M26,,156.56,157.25,chron,#CCECF4
1060,M27,,157.25,157.57,chron,#B3E3EE
1059,M28,,157.57,158.89,chron,#BFE7F1
1058,M29,,158.89,159.38,chron,#BFE7F1
1057,M30,,159.38,159.78,chron,#BFE7F1
1056,M31,,159.78,160.15,chron,#BFE7F1
1055,M32,,160.15,160.73,chron,#BFE7F1
1054,M33,,160.73,161.81,chron,#BFE7F1
1053,M34,,161.81,162.49,chron,#BFE7F1
1052,M35,,162.49,162.7,chron,#BFE7F1
1051,M36,,162.7,163.29,chron,#BFE7F1
1050,M37,,163.29,163.88,chron,#34B2C9
1049,M38,,163.88,165.04,chron,#BFE7E5
1048,M39,,165.04,166.72,chron,#80CFD8
1047,M40,,166.72,167.47,chron,#B3E2E3
1046,M41,,167.47,168.15,chron,#B3E2E3
1045,M42,,168.15,169.24,chron,#80CFD8
1044,M43,,169.24,169.99,chron,#A6DDE0
1043,M44,,169.99,170.76,chron,#80CFD8
