age_Ma,o2_pal,uncertainty_pal,source
0.0,1.00,0.05,Berner 2001 GEOCARBSULF
10.0,1.00,0.05,Berner 2001
20.0,0.98,0.05,Berner 2001
30.0,0.96,0.06,Berner 2001
40.0,0.95,0.06,Berner 2001
50.0,0.93,0.07,Berner 2001
60.0,0.90,0.08,Berner 2001
65.0,0.88,0.08,Berner 2001 (K-Pg)
70.0,0.90,0.08,Berner 2001
80.0,0.95,0.07,Berner 2001
90.0,1.00,0.06,Berner 2001 (OAE-2 — O2 dip then recovery)
95.0,0.95,0.07,Berner 2001
100.0,1.00,0.06,Berner 2001
110.0,1.05,0.06,Berner 2001
120.0,1.10,0.07,Berner 2001
130.0,1.15,0.07,Berner 2001
140.0,1.20,0.08,Berner 2001
150.0,1.25,0.08,Berner 2001 (Jurassic O2 peak)
170.0,1.30,0.10,Berner 2001
200.0,1.20,0.10,Berner 2001
250.0,0.80,0.15,Berner 2001 (P-T O2 crash)
280.0,1.50,0.15,Berner 2001 (Carboniferous O2 peak — giant insects)
300.0,1.30,0.12,Berner 2001
350.0,1.00,0.10,Berner 2001
400.0,0.85,0.12,Berner 2001
450.0,0.80,0.15,Berner 2001
500.0,0.70,0.20,Berner 2001
550.0,0.60,0.25,Berner 2001 (late Precambrian low O2)
