/* DATA DESCRIPTION:
Citation:	Strasser, Michael; Ikehara, Ken; Everest, Jeremy D; Maeda, Lena; Hochmuth, Katharina; Grant, Hannah; Stewart, Margaret S; Sakurai, Noriaki; Yokoyama, Takahiro; Bao, Rui; Bellanova, Piero; Brunet, Morgane; Cai, Zhirong; Cattaneo, Antonio; Hsiung, Kan-Hsi; Huang, Jyh-Jaan Steven; Ishizawa, Tahashi; Itaki, Takuya; Jitsuno, Kana; Johnson, Joel E; Kanamatsu, Toshiya; Keep, Myra; Kioka, Arata; Kölling, Martin; Luo, Min; März, Christian; McHugh, Cecilia M G; Micallef, Aaron; Nagahashi, Yoshitaka; Pandey, Dhananjai K; Proust, Jean-Noël; Rasbury, Troy; Riedinger, Natascha; Satoguchi, Yasufumi; Sawyer, Derek E; Seibert, Chloé; Silver, Maxwell; Straub, Susanne M; Virtasalo, Joonas J; Wang, Yong Hong; Wu, Ting-Wei; Zellers, Sarah D (2025): X-ray diffraction results from IODP Hole 386-M0087B [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.978955
Abstract:	Results of X-ray diffraction (XRD) analyses from the above given hole of International Ocean Discovery Program (IODP) Expedition 386 (Japan Trench Paleoseismology). The offshore phase of this expedition took place between 2021-04-13 and 2021-06-01 onboard Japanese R/V Kaimei from and to Yokosuka, Japan, followed by an onshore phase onboard D/V Chikyu between 2022-02-14 – 2022-03-15. During the onshore phase a set of solid-phase samples, with a volume of approx. 10 cubic centimeters each, were taken with the purpose to be later on split into aliquots for the following three analyses: X-ray diffraction, carbon and X-ray fluorescence. The bulk solid-phase samples were taken from the work halves of core sections at about one sample per meter on average. Unprocessed samples were then shipped to the MARUM - Center for Marine Environmental Sciences of the University of Bremen (Germany), where they were freeze-dried, ground and homogenized to a fine powder (<20 µm particle size) by ECORD Science Operator staff using a pestle and an agate mortar. The aliquots for XRD analysis were prepared with the Philips backloading system in the Crystallography and Geomaterials Research laboratories of the Geoscience Department at the University of Bremen (Germany). X-ray diffractograms were measured on a Bruker D8 Discover diffractometer. Mineral identification and semi-quantification were done using the Philips software X'Pert HighScore Version 1.2 (Degen et al., 2014, https://doi.org/10.1017/S0885715614000840) and follows concepts of Vogt (2009, https://doi.org/10.2204/iodp.proc.302.203.2009). Minimum relative errors are given based on Vogt et al., 2002 (https://doi.org/10.1346/000986002760833765). Clay Mineral groups are used as sums of multiple minerals. In many samples there is a bulb below 20-25° 2theta pointing to amorphous SiO2, which can be biogenic (e.g. diatoms etc.) or volcanic glass. The bulb size could implicate about 10-20 wt.% of amorphous SiO2. Exact quantification of this component would require more detailed XRD experiments.
	For further methodological information see methods chapter in Strasser, M. et al., 2023 https://doi.org/10.14379/iodp.proc.386.102.2023
Keyword(s):	International Ocean Discovery Program (IODP); IODP; Japan Trench; X-ray diffraction (XRD); XRD
Related to:	Strasser, Michael; Ikehara, Ken; Everest, Jeremy D; IODP Expedition 386 Scientists (2023): Japan Trench Paleoseismology. Proceedings of the International Ocean Discovery Program, International Ocean Discovery Program, 386, https://doi.org/10.14379/iodp.proc.386.2023
Further details:	QAQC386_Web_C_LITH_2_XRD (URI: https://download.pangaea.de/reference/140397/attachments/QAQC386_Web_C_LITH_2_XRD.zip)
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Coverage:	LATITUDE: 39.440650 * LONGITUDE: 144.216183
	DATE/TIME START: 2021-05-03T00:00:00 * DATE/TIME END: 2021-05-03T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.56 m * MAXIMUM DEPTH, sediment/rock: 18.61 m
