/* DATA DESCRIPTION:
Citation:	Strasser, Michael; Ikehara, Ken; Everest, Jeremy D; Maeda, Lena; Hochmuth, Katharina; Grant, Hannah; Stewart, Margaret S; Sakurai, Noriaki; Yokoyama, Takahiro; Bao, Rui; Bellanova, Piero; Brunet, Morgane; Cai, Zhirong; Cattaneo, Antonio; Hsiung, Kan-Hsi; Huang, Jyh-Jaan Steven; Ishizawa, Tahashi; Itaki, Takuya; Jitsuno, Kana; Johnson, Joel E; Kanamatsu, Toshiya; Keep, Myra; Kioka, Arata; Kölling, Martin; Luo, Min; März, Christian; McHugh, Cecilia M G; Micallef, Aaron; Nagahashi, Yoshitaka; Pandey, Dhananjai K; Proust, Jean-Noël; Rasbury, Troy; Riedinger, Natascha; Satoguchi, Yasufumi; Sawyer, Derek E; Seibert, Chloé; Silver, Maxwell; Straub, Susanne M; Virtasalo, Joonas J; Wang, Yong Hong; Wu, Ting-Wei; Zellers, Sarah D (2025): X-Ray fluorescence (XRF) of discrete samples from IODP Hole 386-M0087B [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.979586
Abstract:	Results of X-Ray fluorescence (XRF) on discrete samples from the above given hole of International Ocean Discovery Program (IODP) Expedition 386 (Japan Trench Paleoseismology). The offshore phase of this expedition took place between 2021-04-13 and 2021-06-01 onboard Japanese R/V Kaimei from and to Yokosuka, Japan, followed by an onshore phase onboard D/V Chikyu between 2022-02-14 – 2022-03-15. During the onshore phase a set of solid-phase samples, with a volume of approx. 10 cubic centimeters each, were taken with the purpose to be later on split into aliquots for the following three analyses: X-ray diffraction, carbon and X-ray fluorescence. The bulk solid-phase samples were taken from the work halves of core sections at about one sample per meter on average. Unprocessed samples were then shipped to the MARUM - Center for Marine Environmental Sciences of the University of Bremen (Germany), where they were freeze-dried, ground and homogenized to a fine powder by ECORD Science Operator staff using a pestle and an agate mortar. For analysis of elemental composition of the bulk sediment using energy dispersive XRF (EDXRF) 4 g (±0.2 g) aliquot of the homogenized powder was used. Elemental concentrations were determined by ED-XRF spectroscopy utilizing a PANalytical Epsilon 3-XLE benchtop ED-XRF spectrometer operated in the MARUM sediment geochemistry laboratory.
	For further details see methods chapter in Strasser, M. et al., 2023 https://doi.org/10.14379/iodp.proc.386.102.2023
Keyword(s):	International Ocean Discovery Program (IODP); IODP; Japan Trench; XRF data
Related to:	Strasser, Michael; Ikehara, Ken; Everest, Jeremy D; IODP Expedition 386 Scientists (2023): Japan Trench Paleoseismology. Proceedings of the International Ocean Discovery Program, International Ocean Discovery Program, 386, https://doi.org/10.14379/iodp.proc.386.2023
Further details:	QAQC386_Web_F_GC_7_XRF discrete (URI: https://download.pangaea.de/reference/140408/attachments/QAQC386_Web_F_GC_7_XRF%20discrete.zip)
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Coverage:	LATITUDE: 39.440650 * LONGITUDE: 144.216183
	DATE/TIME START: 2021-05-03T00:00:00 * DATE/TIME END: 2021-05-03T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.56 m * MAXIMUM DEPTH, sediment/rock: 18.61 m
Event(s):	386-M0087B (JTPN-02A) * LATITUDE: 39.440650 * LONGITUDE: 144.216183 * DATE/TIME START: 2021-05-03T00:00:00 * DATE/TIME END: 2021-05-03T00:00:00 * ELEVATION: -7520.0 m * LOCATION: Japan Trench * CAMPAIGN: Exp386 (URI: https://doi.org/10.14379/iodp.proc.386.2023) * BASIS: Kaimei (URI: https://www.jamstec.go.jp/e/about/equipment/ships/kaimei.html) * METHOD/DEVICE: Giant piston corer (GPC) * COMMENT: IGSN: IBCR0386EHU4001. Comment: 20 m
Comment:	Data was submitted and proofread by Vera Barbara Bender, MARUM - Center for Marine Environmental Sciences (University Bremen) on behalf of ECORD Science Operator Data Management (https://www.ecord.org).
Parameter(s):	Event label (Event)
	Sample code/label (Sample label) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Proposed International Geo Sample Number (Prop IGSN)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Aluminium [mg/kg] (Al) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Barium [mg/kg] (Ba) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
	Bromine [mg/kg] (Br) * METHOD/DEVICE: Energy-dispersive x-ray fluorescence spectrometer (ED-XRF), Malvern Panalytical, 3XLE benchtop analyzer
