age_Ma,co2_ppm,uncertainty_p10,uncertainty_p90,source
0.0,280,260,300,Berner GEOCARBSULF v3 (pre-industrial)
5.0,300,250,400,Berner GEOCARBSULF v3
10.0,350,280,500,Berner GEOCARBSULF v3
15.0,400,300,600,Berner GEOCARBSULF v3
20.0,500,350,800,Berner GEOCARBSULF v3
25.0,600,400,1000,Berner GEOCARBSULF v3
30.0,700,450,1200,Berner GEOCARBSULF v3
35.0,800,500,1400,Berner GEOCARBSULF v3 (Eocene Optimum)
40.0,1000,600,1800,Berner GEOCARBSULF v3
45.0,1200,700,2200,Berner GEOCARBSULF v3
50.0,1400,800,2500,Berner GEOCARBSULF v3
55.0,1800,1000,3500,Berner GEOCARBSULF v3 (PETM proxy)
60.0,1500,900,2800,Berner GEOCARBSULF v3
65.0,1200,700,2200,Berner GEOCARBSULF v3 (K-Pg)
70.0,1000,600,1800,Berner GEOCARBSULF v3
75.0,900,500,1600,Berner GEOCARBSULF v3
80.0,800,450,1400,Berner GEOCARBSULF v3
85.0,700,400,1200,Berner GEOCARBSULF v3
90.0,600,350,1000,Berner GEOCARBSULF v3 (OAE-2)
95.0,700,400,1200,Berner GEOCARBSULF v3
100.0,600,350,1000,Berner GEOCARBSULF v3
110.0,500,300,900,Berner GEOCARBSULF v3
120.0,600,350,1100,Berner GEOCARBSULF v3
130.0,700,400,1300,Berner GEOCARBSULF v3
140.0,800,450,1500,Berner GEOCARBSULF v3
150.0,1000,600,1800,Berner GEOCARBSULF v3 (Jurassic)
170.0,1200,700,2200,Berner GEOCARBSULF v3
200.0,1500,900,2800,Berner GEOCARBSULF v3 (Triassic-Jurassic)
250.0,2000,1200,3500,Berner GEOCARBSULF v3 (P-T boundary)
300.0,300,200,500,Berner GEOCARBSULF v3 (Carboniferous icehouse)
350.0,400,250,700,Berner GEOCARBSULF v3
400.0,500,300,900,Berner GEOCARBSULF v3
450.0,800,500,1400,Berner GEOCARBSULF v3 (Ordovician)
500.0,2000,1200,3500,Berner GEOCARBSULF v3 (Cambrian)
550.0,3000,1800,5000,Berner GEOCARBSULF v3 (late Precambrian)
