age_Ma,d18O_permil,temp_anomaly_c,uncertainty_p10,uncertainty_p90,source
0.0,3.2,0.0,−0.5,0.5,Zachos et al. 2001 + Westerhold et al. 2020
1.0,3.0,0.5,−0.5,1.0,Zachos et al. 2001
2.0,2.8,1.0,−0.5,1.5,Zachos et al. 2001
3.0,2.5,1.5,−0.5,2.0,Zachos et al. 2001
4.0,2.0,2.5,−1.0,3.0,Zachos et al. 2001
5.0,1.5,3.5,−1.0,4.0,Zachos et al. 2001
10.0,1.0,4.5,−1.5,5.0,Zachos et al. 2001
15.0,0.5,5.5,−1.5,6.0,Zachos et al. 2001
20.0,0.0,6.5,−2.0,7.0,Zachos et al. 2001
25.0,−0.5,7.5,−2.0,8.0,Zachos et al. 2001
30.0,−0.8,8.0,−2.0,8.5,Zachos et al. 2001
33.0,−1.0,8.5,−2.0,9.0,Zachos et al. 2001 (E-O transition)
35.0,0.5,5.5,−1.5,6.0,Zachos et al. 2001
40.0,0.0,6.5,−2.0,7.0,Zachos et al. 2001
45.0,−0.5,7.5,−2.0,8.0,Zachos et al. 2001
50.0,−0.3,7.0,−2.0,8.0,Zachos et al. 2001
55.0,−1.0,8.5,−2.5,9.5,Zachos et al. 2001 (PETM)
56.0,−1.5,9.5,−3.0,10.5,Zachos et al. 2001 (PETM peak)
57.0,−1.0,8.5,−2.5,9.5,Zachos et al. 2001
60.0,−0.5,7.5,−2.0,8.0,Zachos et al. 2001
65.0,0.0,6.5,−2.0,7.0,Zachos et al. 2001 (K-Pg)
66.0,0.5,5.5,−1.5,6.0,Zachos et al. 2001
