int_id,name,abbrev,t_age,b_age,int_type,color
1515,Brunhes,C1n,0,0.774,sub-age,#F9F97F
1514,Matuyama,C1r.1r,0.774,0.988,sub-age,#FFF2C7
1513,Jaramillo,C1r.1n,0.988,1.072,sub-age,#FFF2C7
1512,C1r.2r,,1.072,1.173,sub-age,#FFF2C7
1511,Cobb Mountain,C1r.2n,1.173,1.945,sub-age,#FFF2AE
1510,C2r.1r,,1.945,2.128,sub-age,#FFEDB3
1509,C2r.1n,,2.128,2.148,sub-age,#FFEDB3
1508,Matuyama,C2r.2r,2.148,2.581,sub-age,#FFEDB3
1507,C2An.1n,,2.581,3.032,sub-age,#F2F91D
1506,C2An.1r,,3.032,3.116,sub-age,#FFFFBF
1505,C2An.2n,,3.116,3.207,sub-age,#FFFFBF
1504,Mammoth,C2An.2r,3.207,3.33,sub-age,#FFFFBF
1503,C2An.3n,,3.33,3.596,sub-age,#FFFFBF
1502,C2Ar,,3.596,4.187,sub-age,#FFFF99
1501,Cochiti,C3n.1n,4.187,4.3,sub-age,#FFFFB3
1500,C3n.1r,,4.3,4.493,sub-age,#FFFFB3
1499,Nunivak,C3n.2n,4.493,4.631,sub-age,#FFFFB3
1498,C3n.2r,,4.631,4.799,sub-age,#FFFFB3
1497,Sidufjall,C3n.3n,4.799,4.896,sub-age,#FFFFB3
1496,C3n.3r,,4.896,4.997,sub-age,#FFFFB3
1495,Thvera,C32n.4n,4.997,5.235,sub-age,#FFFFB3
1494,Gilbert,C3r,5.235,6.033,sub-age,#FFE619
1493,C3An.1n,,6.033,6.252,sub-age,#FFFF73
1492,C3An.1r,,6.252,6.436,sub-age,#FFFF73
1491,C3An.2n,,6.436,6.733,sub-age,#FFFF73
1490,C3Ar,,6.733,7.14,sub-age,#FFFF73
1489,C3Bn,,7.14,7.212,sub-age,#FFFF73
1488,C3Br.1r,,7.212,7.251,sub-age,#FFFF00
1487,C3Br.1n,,7.251,7.285,sub-age,#FFFF66
1486,C3Br.2r,,7.285,7.454,sub-age,#FFFF66
1485,C3Br.2n,,7.454,7.489,sub-age,#FFFF66
1484,C3Br.3r,,7.489,7.528,sub-age,#FFFF66
1483,C4n.1n,,7.528,7.642,sub-age,#FFFF66
1482,C4n.1r,,7.642,7.695,sub-age,#FFFF66
1481,C4n.2n,,7.695,8.108,sub-age,#FFFF66
1480,C4r.1r,,8.108,8.254,sub-age,#FFFF66
1479,C4r.1n,,8.254,8.3,sub-age,#FFFF66
1478,C4r.2r,,8.3,8.771,sub-age,#FFFF66
1477,C4An,,8.771,9.105,sub-age,#FFFF66
1476,C4Ar.1r,,9.105,9.311,sub-age,#FFFF66
1475,C4Ar.1n,,9.311,9.426,sub-age,#FFFF66
1474,C4Ar.2r,,9.426,9.647,sub-age,#FFFF66
1473,C4Ar.2n,,9.647,9.721,sub-age,#FFFF66
1472,C4Ar.3r,,9.721,9.786,sub-age,#FFFF66
1471,C5n.1n,,9.786,9.937,sub-age,#FFFF66
1470,C5n.1r,,9.937,9.984,sub-age,#FFFF66
1469,C5n.2n,,9.984,11.056,sub-age,#FFFF66
1468,C5r.1r,,11.056,11.146,sub-age,#FFFF66
1467,C5r.1n,,11.146,11.188,sub-age,#FFFF66
1466,C5r.2r,,11.188,11.592,sub-age,#FFFF66
1465,C5r.2n,,11.592,11.657,sub-age,#FFFF00
1464,C5r.3r,,11.657,12.049,sub-age,#FFFF59
1463,C5An.1n,,12.049,12.174,sub-age,#FFFF59
1462,C5An.1r,,12.174,12.272,sub-age,#FFFF59
1461,C5An.2n,,12.272,12.474,sub-age,#FFFF59
1460,C5Ar.1r,,12.474,12.735,sub-age,#FFFF59
1459,C5Ar.1n,,12.735,12.77,sub-age,#FFFF59
1458,C5Ar.2r,,12.77,12.829,sub-age,#FFFF59
1457,C5Ar.2n,,12.829,12.887,sub-age,#FFFF59
1456,C5Ar.3r,,12.887,13.032,sub-age,#FFFF59
1455,C5AAn,,13.032,13.183,sub-age,#FFFF59
1454,C5AAr,,13.183,13.363,sub-age,#FFFF59
1453,C5ABn,,13.363,13.608,sub-age,#FFFF59
1452,C5ABr,,13.608,13.739,sub-age,#FFFF59
1451,C5ACn,,13.739,14.07,sub-age,#FFFF00
1450,C5ACr,,14.07,14.163,sub-age,#FFFF4D
1449,C5ADn,,14.163,14.609,sub-age,#FFFF4D
1448,C5ADr,,14.609,14.775,sub-age,#FFFF4D
1447,C5Bn.1n,,14.775,14.87,sub-age,#FFFF4D
1446,C5Bn.1r,,14.87,15.032,sub-age,#FFFF4D
1445,C5Bn.2n,,15.032,15.16,sub-age,#FFFF4D
1444,C5Br,,15.16,15.974,sub-age,#FFFF00
1443,C5Cn.1n,,15.974,16.268,sub-age,#FFFF41
1442,C5Cn.1r,,16.268,16.303,sub-age,#FFFF41
1441,C5Cn.2n,,16.303,16.472,sub-age,#FFFF41
1440,C5Cn.2r,,16.472,16.543,sub-age,#FFFF41
1439,C5Cn.3n,,16.543,16.721,sub-age,#FFFF41
1438,C5Cr,,16.721,17.235,sub-age,#FFFF41
1437,C5Dn,,17.235,17.533,sub-age,#FFFF41
1436,C5Dr.1r,,17.533,17.717,sub-age,#FFFF41
1435,C5Dr.1n,,17.717,17.74,sub-age,#FFFF41
1434,C5Dr.2r,,17.74,18.056,sub-age,#FFFF41
1433,C5En,,18.056,18.524,sub-age,#FFFF41
1432,C5Er,,18.524,18.748,sub-age,#FFFF41
1431,C6n,,18.748,19.722,sub-age,#FFFF41
1430,C6r,,19.722,20.04,sub-age,#FFFF41
1429,C6An.1n,,20.04,20.213,sub-age,#FFFF41
1428,C6An.1r,,20.213,20.439,sub-age,#FFFF41
1427,C6An.2n,,20.439,20.709,sub-age,#FFFF00
1426,C6Ar,,20.709,21.083,sub-age,#FFFF33
1425,C6AAn,,21.083,21.159,sub-age,#FFFF33
1424,C6AAr.1r,,21.159,21.403,sub-age,#FFFF33
1423,C6AAr.1n,,21.403,21.483,sub-age,#FFFF33
1422,C6AAr.2r,,21.483,21.659,sub-age,#FFFF33
1421,C6AAr.2n,,21.659,21.688,sub-age,#FFFF33
1420,C6AAr.3r,,21.688,21.767,sub-age,#FFFF33
1419,C6Bn.1n,,21.767,21.936,sub-age,#FFFF33
1418,C6Bn.1r,,21.936,21.992,sub-age,#FFFF33
1417,C6Bn.2n,,21.992,22.268,sub-age,#FFFF33
1416,C6Br,,22.268,22.564,sub-age,#FFFF33
